fecha,producto,categoria,cantidad,precio_unitario,total
2026-06-01,Chocolate Jet 250g,Snacks,6,1100.00,6600.00
2026-06-01,Galletas Festival 150g,Snacks,8,700.00,5600.00
2026-06-03,Arroz Diana 500g,Granos,4,2500.00,10000.00
2026-06-05,Chocorramo 70g,Snacks,10,2500.00,25000.00
2026-06-05,Gaseosa Cocacola 1.5L,Bebidas,4,6000.00,24000.00
2026-06-07,Galletas Ducales 200g,Snacks,5,3200.00,16000.00
2026-06-07,Cerveza Aguila 330ml,Bebidas,12,2500.00,30000.00
2026-06-09,Caramelos Colombina 1kg,Snacks,2,12000.00,24000.00
2026-06-11,Chocolate Jet 250g,Snacks,4,1100.00,4400.00
2026-06-13,Aceite Premier 1L,Abarrotes,1,12500.00,12500.00
2026-06-15,Bombon Bum 48un,Snacks,3,4500.00,13500.00
2026-06-15,Chocorramo 70g,Snacks,8,2500.00,20000.00
2026-06-17,Panela Cuadrada 500g,Endulzantes,4,2800.00,11200.00
2026-06-19,Galletas Festival 150g,Snacks,10,700.00,7000.00
2026-06-21,Huevos AA x30,Lacteos,2,18000.00,36000.00
2026-06-21,Galletas Ducales 200g,Snacks,6,3200.00,19200.00
2026-06-23,Arroz Diana 500g,Granos,3,2500.00,7500.00
2026-06-25,Caramelos Colombina 1kg,Snacks,1,12000.00,12000.00
2026-06-27,Chocorramo 70g,Snacks,5,2500.00,12500.00
2026-06-27,Gaseosa Postobon 1.5L,Bebidas,4,5500.00,22000.00
2026-06-30,Chocolate Jet 250g,Snacks,7,1100.00,7700.00
