fecha_hora,descripcion,tipo,cantidad_vendida,valor_unit,subtotal
2026-07-01 08:15,Arroz Diana 500g,granos,5,2500.00,12500.00
2026-07-01 10:30,Salsa Tomate Fruco 400g,abarrotes,2,4800.00,9600.00
2026-07-03 09:00,Harina Pan 1kg,granos,4,3200.00,12800.00
2026-07-03 14:20,Gaseosa Cocacola 1.5L,bebidas,3,6000.00,18000.00
2026-07-05 11:45,Frijol Cargamanto 500g,granos,2,5000.00,10000.00
2026-07-05 16:00,Cafe Aguila Roja 250g,abarrotes,1,15000.00,15000.00
2026-07-07 10:10,Leche Alqueria 1L,lacteos,5,4200.00,21000.00
2026-07-07 18:30,Cerveza Aguila 330ml,bebidas,8,2500.00,20000.00
2026-07-09 07:45,Aceite Premier 1L,abarrotes,2,12500.00,25000.00
2026-07-11 12:00,Panela Cuadrada 500g,endulzantes,6,2800.00,16800.00
2026-07-13 09:30,Chocorramo 70g,snacks,5,2500.00,12500.00
2026-07-15 15:00,Huevos AA x30,lacteos,1,18000.00,18000.00
2026-07-15 17:00,Harina Pan 1kg,granos,3,3200.00,9600.00
2026-07-17 10:00,Salsa Tomate Fruco 400g,abarrotes,3,4800.00,14400.00
2026-07-19 11:30,Arroz Diana 500g,granos,4,2500.00,10000.00
2026-07-19 14:00,Cerveza Aguila 330ml,bebidas,10,2500.00,25000.00
2026-07-21 08:00,Chocolate Jet 250g,snacks,4,1100.00,4400.00
2026-07-23 13:15,Aceite Premier 1L,abarrotes,1,12500.00,12500.00
2026-07-25 16:30,Galletas Ducales 200g,snacks,7,3200.00,22400.00
2026-07-25 19:00,Frijol Cargamanto 500g,granos,3,5000.00,15000.00
2026-07-27 09:45,Gaseosa Postobon 1.5L,bebidas,5,5500.00,27500.00
2026-07-29 12:30,Harina Pan 1kg,granos,4,3200.00,12800.00
2026-07-29 17:00,Cafe Aguila Roja 250g,abarrotes,2,15000.00,30000.00
2026-07-31 10:00,Salsa Tomate Fruco 400g,abarrotes,4,4800.00,19200.00
